rank,title_cn,title_en,aka,rating,rating_count,quote,director,actors,year,country,genre,detail_url
100,唐伯虎点秋香,唐伯虎點秋香,Flirting Scholar,8.8,1237701,,李力持 Lik-Chi Lee,周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,1993,中国香港,喜剧 爱情 古装,https://movie.douban.com/subject/1306249/
101,狩猎,Jagten,诬网(港)  /  谎言的烙印(台),9.1,477241,人言可畏。,托马斯·温特伯格 Thomas Vinterberg,麦斯·米科尔森 Mads Mik...,2012,丹麦 瑞典,剧情,https://movie.douban.com/subject/6985810/
102,幽灵公主,もののけ姫,魔法公主  /  幽灵少女,8.9,677224,,宫崎骏 Hayao Miyazaki,松田洋治 Yôji Matsuda / 石田百合...,1997,日本,动画 奇幻 冒险,https://movie.douban.com/subject/1297359/
103,寄生虫,기생충,寄生上流(台)  /  上流寄生族(港),8.8,1562005,,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song / 李善均 Seon-gyun...,2019,韩国,剧情,https://movie.douban.com/subject/27010768/
104,甜蜜蜜,,Comrades: Almost a Love Story,8.9,682138,,陈可辛 Peter Chan,黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,1996,中国香港,剧情 爱情,https://movie.douban.com/subject/1305164/
105,天书奇谭,,天书奇谭4K纪念版  /  The Legend of Sealed Book,9.2,340834,,王树忱 Shuchen Wang / 钱运达 Yunda Qian,丁建华 Jianhua Din...,1983(中国大陆),2021,中国大陆,https://movie.douban.com/subject/1428581/
106,蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台),8.9,822804,诺兰就是保证。,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚,https://movie.douban.com/subject/3395373/
107,超能陆战队,Big Hero 6,大英雄联盟(港)  /  大英雄天团(台),8.8,1157308,Balalala~~~,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,斯科特...,2014,美国,喜剧 动作 科幻 动画 冒险,https://movie.douban.com/subject/11026735/
108,茶馆,,The Teahouse,9.5,214751,,谢添 Tian Xie,于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,1982(中国大陆),中国大陆,剧情 历史,https://movie.douban.com/subject/1461403/
109,7号房的礼物,7번방의 선물,戆爸的礼物(港)  /  7号囚房的礼物,8.9,627831,《我是山姆》的《美丽人生》。,李焕庆 Hwan-kyeong Lee,柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,2013,韩国,剧情 喜剧 家庭,https://movie.douban.com/subject/10777687/
110,第六感,The Sixth Sense,鬼眼(港)  /  灵异第六感(台),8.9,646923,,M·奈特·沙马兰 M. Night Shyamalan,布鲁斯·威利斯 Bruce Wi...,1999,美国,剧情 悬疑 惊悚,https://movie.douban.com/subject/1297630/
111,爱在日落黄昏时,Before Sunset,日落巴黎(港)  /  爱在日落巴黎时(台),8.9,663581,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,2004,美国 法国,剧情 爱情,https://movie.douban.com/subject/1291990/
112,爱在黎明破晓前,Before Sunrise,情留半天(港)  /  爱在黎明破晓时(台),8.8,813133,,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,1995,美国 奥地利 瑞士,剧情 爱情,https://movie.douban.com/subject/1296339/
113,头脑特工队,Inside Out,玩转脑朋友(港)  /  脑筋急转弯(台),8.9,819014,愿我们都不用长大，每一座城堡都能永远存在。,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,,2015,美国,喜剧 动画 冒险,https://movie.douban.com/subject/10533913/
114,哈利·波特与火焰杯,Harry Potter and the Goblet of Fire,哈利波特4：火杯的考验(港 / 台),8.8,812757,,迈克·内威尔 Mike Newell,丹尼尔·雷德克里夫 Daniel Radclif...,2005,英国 美国,悬疑 奇幻 冒险,https://movie.douban.com/subject/1309055/
115,被嫌弃的松子的一生,嫌われ松子の一生,花样奇缘(港)  /  令人讨厌的松子的一生(台),8.8,781147,以戏谑来戏谑戏谑。,中岛哲也 Tetsuya Nakashima,中谷美纪 Miki Nakatani / 瑛太 E...,2006,日本,剧情 歌舞,https://movie.douban.com/subject/1787291/
116,未麻的部屋,Perfect Blue,蓝色恐惧(港 / 台),9.1,432161,,今敏 Satoshi Kon,岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,1997,日本,剧情 犯罪 动画 悬疑 惊悚,https://movie.douban.com/subject/1395091/
117,重庆森林,重慶森林,Chungking Express,8.8,932126,,王家卫 Kar Wai Wong,林青霞 Brigitte Lin / 金城武 Takeshi K...,1994,中国香港,剧情 爱情,https://movie.douban.com/subject/1291999/
118,借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港),8.9,634829,曾经的那段美好会沉淀为一辈子的记忆。,米林宏昌 Hiromasa Yonebayashi,志田未来 Mirai Shida / 神木...,2010,日本,动画 奇幻 冒险,https://movie.douban.com/subject/4202302/
119,菊次郎的夏天,菊次郎の夏,菊次郎之夏  /  Kikujirô no natsu,8.9,681063,,北野武 Takeshi Kitano,北野武 Takeshi Kitano / 关口雄介 Yus...,1999,日本,剧情 喜剧,https://movie.douban.com/subject/1293359/
120,入殓师,おくりびと,礼仪师之奏鸣曲(港)  /  礼仪师(台),8.9,748225,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,泷田洋二郎 Yôjirô Takita,本木雅弘 Masahiro Motoki / ...,2008,日本,剧情,https://movie.douban.com/subject/2149806/
121,剪刀手爱德华,Edward Scissorhands,幻海奇缘(港)  /  剪刀手爱德华,8.7,1128431,,蒂姆·波顿 Tim Burton,约翰尼·德普 Johnny Depp / 薇诺娜·...,1990,美国,剧情 爱情 奇幻,https://movie.douban.com/subject/1292370/
122,断背山,Brokeback Mountain,断臂山  /  BBM,8.8,790800,每个人心中都有一座断背山。,李安 Ang Lee,希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,2005,美国 加拿大,剧情 爱情 同性 家庭,https://movie.douban.com/subject/1418834/
123,勇敢的心,Braveheart,惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),8.9,610126,,梅尔·吉布森 Mel Gibson,梅尔·吉布森 Mel Gibson / 苏菲·玛...,1995,美国,动作 传记 剧情 历史 战争,https://movie.douban.com/subject/1294639/
124,时空恋旅人,About Time,回到最爱的一天(港)  /  真爱每一天(台),8.8,804292,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,理查德·柯蒂斯 Richard Curtis,多姆纳尔·格里森 Domhnall Gl...,2013,英国 美国,喜剧 爱情 奇幻,https://movie.douban.com/subject/10577869/
125,傲慢与偏见,Pride & Prejudice,傲慢与偏见2005  /  Pride And Prejudice,8.7,952349,爱是摈弃傲慢与偏见之后的曙光。,乔·怀特 Joe Wright,凯拉·奈特莉 Keira Knightley / 马修·...,2005,法国 英国 美国,剧情 爱情,https://movie.douban.com/subject/1418200/
126,玩具总动员3,Toy Story 3,反斗奇兵3(港)  /  玩具的故事3,8.9,607302,跨度十五年的欢乐与泪水。,李·昂克里奇 Lee Unkrich,汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,2010,美国,喜剧 动画 奇幻 冒险,https://movie.douban.com/subject/1858711/
127,驯龙高手,How to Train Your Dragon,驯龙记(港),8.8,876202,和谐的生活离不开摸头与被摸头。,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,...,2010,美国,动画 奇幻 冒险,https://movie.douban.com/subject/2353023/
128,消失的爱人,Gone Girl,失踪的女孩  /  失踪女孩,8.7,1084005,年度最佳date movie。,大卫·芬奇 David Fincher,本·阿弗莱克 Ben Affleck / 罗莎蒙...,2014,美国,剧情 犯罪 悬疑 惊悚,https://movie.douban.com/subject/21318488/
129,无人知晓,誰も知らない,谁知赤子心(港)  /  无人知晓的夏日清晨(台),9.1,377496,我的平常生活就是他人的幸福。,是枝裕和 Hirokazu Koreeda,柳乐优弥 Yûya Yagira / 北浦爱...,2004,日本,剧情,https://movie.douban.com/subject/1292337/
130,倩女幽魂,,倩女幽魂(87版)  /  倩女幽魂：妖魔道,8.8,843516,,程小东 Siu-Tung Ching,张国荣 Leslie Cheung / 王祖贤 Joey W...,1987,中国香港,爱情 奇幻 武侠 古装,https://movie.douban.com/subject/1297447/
131,新世界,신세계,暗黑新世界(台)  /  New World,8.9,536154,要做就做得狠一点，这样才能活下去。,朴勋政 Hoon-jung Park,李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,2013,韩国,剧情 犯罪,https://movie.douban.com/subject/10437779/
132,花样年华,花樣年華,花样年华导演特别版  /  花样年华4K修复版,8.8,816902,,王家卫 Kar Wai Wong,张曼玉 Maggie Cheung / 梁朝伟 Tony Leu...,2000,中国香港,剧情 爱情,https://movie.douban.com/subject/1291557/
133,一个叫欧维的男人决定去死,En man som heter Ove,明天别再来敲门(台)  /  想死冇咁易(港),8.9,577576,惠及一生的美丽。,汉内斯·赫尔姆 Hannes Holm,罗夫·拉斯加德 Rolf Lassgård...,2015,瑞典,剧情,https://movie.douban.com/subject/26628357/
134,色，戒,,色|戒  /  色·戒,8.7,974806,假戏真情，爱欲深海,李安 Ang Lee,梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色,https://movie.douban.com/subject/1828115/
135,完美的世界,A Perfect World,强盗保镳,9.1,364299,,克林特·伊斯特伍德 Clint Eastwood,凯文·科斯特纳 Kevin Cos...,1993,美国,剧情 犯罪,https://movie.douban.com/subject/1300992/
136,怪兽电力公司,"Monsters, Inc.",怪兽公司(港)  /  怪物公司,8.8,779650,,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,约...,2001,美国,儿童 喜剧 动画 奇幻 冒险,https://movie.douban.com/subject/1291579/
137,教父3,The Godfather: Part III,教父第三集  /  教父 III,9.0,438493,,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,1990,美国,剧情 犯罪,https://movie.douban.com/subject/1294240/
138,小森林 夏秋篇,リトル・フォレスト 夏・秋,小森食光 / 夏秋篇(台),9.0,478676,那些静得只能听见呼吸的日子里，你明白孤独即生活。,森淳一 Junichi Mori,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2014,日本,剧情,https://movie.douban.com/subject/25814705/
139,阳光灿烂的日子,,In the Heat of the Sun,8.8,702775,,姜文 Wen Jiang,夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,1994,中国大陆 中国香港,剧情 爱情,https://movie.douban.com/subject/1291875/
140,天使爱美丽,Le Fabuleux destin d'Amélie Poulain,艾蜜莉的异想世界(台)  /  天使艾米莉,8.7,1027346,,让-皮埃尔·热内 Jean-Pierre Jeunet,奥黛丽·塔图 Audrey Tau...,2001,法国 德国,剧情 喜剧 爱情,https://movie.douban.com/subject/1292215/
141,九品芝麻官,,九品芝麻官之白面包青天  /  Hail the Judge,8.8,806290,,王晶 Jing Wong,周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,1994,中国香港,剧情 喜剧 古装,https://movie.douban.com/subject/1297518/
142,哪吒闹海,,Prince Nezha's Triumph Against Dragon King  /  Nezha Conquers the Dragon King,9.2,312368,,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,梁正晖 Zhenghui ...,1979,中国大陆,冒险 动画 奇幻,https://movie.douban.com/subject/1307315/
143,侧耳倾听,耳をすませば,心之谷(台)  /  梦幻街少女(港),8.9,526089,,近藤喜文 Yoshifumi Kondo,本名阳子 Youko Honna / 小林桂树 K...,1995,日本,剧情 爱情 动画,https://movie.douban.com/subject/1297052/
144,被解救的姜戈,Django Unchained,被解放的姜戈  /  决杀令(台),8.8,701175,热血沸腾，那个低俗、性感的无耻混蛋又来了。,昆汀·塔伦蒂诺 Quentin Tarantino,杰米·福克斯 Jamie Foxx /...,2012,美国,剧情 动作 西部 冒险,https://movie.douban.com/subject/6307447/
145,幸福终点站,The Terminal,机场客运站(港)  /  航站情缘(台),8.8,649288,有时候幸福需要等一等。,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,2004,美国,喜剧 剧情 爱情,https://movie.douban.com/subject/1292274/
146,请以你的名字呼唤我,Call Me by Your Name,以你的名字呼唤我(港 / 台),8.8,834814,沉醉在电影的情感和视听氛围中无法自拔。,卢卡·瓜达尼诺 Luca Guadagnino,艾米·汉莫 Armie Hammer / ...,2017,意大利 法国 巴西 美国,剧情 爱情 同性,https://movie.douban.com/subject/26799731/
147,釜山行,부산행,尸杀列车(港)  /  尸速列车(台),8.6,1364991,揭露人性的丧尸题材力作。,延尚昊 Sang-ho Yeon,孔刘 Yoo Gong / 郑有美 Yu-mi Jung / 马...,2016,韩国,动作 惊悚 灾难,https://movie.douban.com/subject/25986180/
148,神偷奶爸,Despicable Me,卑鄙的我  /  坏蛋奖门人(港),8.7,1057602,Mr. I Don't Care其实也有Care的时候。,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,...,2010,美国 法国,喜剧 动画 冒险,https://movie.douban.com/subject/3287562/
149,小森林 冬春篇,リトル・フォレスト 冬・春,小森食光 / 冬春篇(台),9.0,424946,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,森淳一 Junichi Mori,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2015,日本,剧情,https://movie.douban.com/subject/25814707/
150,喜宴,囍宴,The Wedding Banquet,9.0,439041,,李安 Ang Lee,赵文瑄 Winston Chao / 归亚蕾 Ya-lei Kuei / 郎...,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭,https://movie.douban.com/subject/1303037/
151,萤火之森,蛍火の杜へ,萤火之社  /  Hotarubi no mori e,8.8,619398,触不到的恋人。,大森贵弘 Takahiro Omori,佐仓绫音 Ayane Sakura / 内山昂辉 K...,2011,日本,剧情 爱情 动画 奇幻,https://movie.douban.com/subject/5989818/
152,告白,,自白  /  母亲,8.8,751433,没有一人完全善，也没有一人完全恶。,中岛哲也 Tetsuya Nakashima,松隆子 Takako Matsu / 冈田将生 ...,2010,日本,剧情 悬疑,https://movie.douban.com/subject/4268598/
153,七武士,七人の侍,七侠四义(港)  /  七剑客(港),9.3,239661,,黑泽明 Akira Kurosawa,三船敏郎 Toshirô Mifune / 志村乔 ...,1954,日本,动作 冒险 剧情,https://movie.douban.com/subject/1295399/
154,头号玩家,Ready Player One,玩家一号  /  挑战者1号(港),8.6,1532238,写给影迷，动漫迷和游戏迷的一封情书。,史蒂文·斯皮尔伯格 Steven Spielberg,泰伊·谢里丹 Tye Sheri...,2018,美国,动作 科幻 冒险,https://movie.douban.com/subject/4920389/
155,玛丽和麦克斯,Mary and Max,玛丽和马克思  /  巧克力情缘(台),9.0,475744,你是我最好的朋友，你是我唯一的朋友 。,亚当·艾略特 Adam Elliot,托妮·科莱特 Toni Collette / 菲利...,2009,澳大利亚 美国,剧情 喜剧 动画,https://movie.douban.com/subject/3072124/
156,机器人之梦,Robot Dreams,再见机器人(台)  /  汪汪梦里人(港),9.1,458005,,巴勃罗·贝格尔 Pablo Berger,伊万·拉班达 Ivan Labanda,2023,西班牙 法国,剧情 动画 音乐,https://movie.douban.com/subject/35426925/
157,模仿游戏,The Imitation Game,解码游戏(港)  /  模拟游戏,8.8,727156,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,莫滕·泰杜姆 Morten Tyldum,本尼迪克特·康伯巴奇 Benedict C...,2014,英国 美国,剧情 传记 战争 同性,https://movie.douban.com/subject/10463953/
158,惊魂记,Psycho,精神病患者  /  触目惊心(港),9.0,362523,,阿尔弗雷德·希区柯克 Alfred Hitchcock,安东尼·博金斯 Antho...,1960,美国,悬疑 惊悚 恐怖,https://movie.douban.com/subject/1293181/
159,心灵奇旅,Soul,灵魂奇遇记(港)  /  灵魂急转弯(台),8.7,1157995,,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,杰米·...,2020,美国,动画 奇幻 音乐,https://movie.douban.com/subject/24733428/
160,大鱼,Big Fish,大鱼奇缘(港)  /  大智若鱼(台),8.8,632825,,蒂姆·波顿 Tim Burton,伊万·麦克格雷格 Ewan McGregor / 阿...,2003,美国,剧情 爱情 奇幻 冒险,https://movie.douban.com/subject/1291545/
161,背靠背，脸对脸,,"背对背，脸对脸  /  Back to Back, Face to Face",9.5,184390,,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,牛振华 Zhenhua N...,1994,中国大陆 中国香港,剧情,https://movie.douban.com/subject/1307856/
162,你的名字。,君の名は。,你的名字  /  君之名,8.5,1610974,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,新海诚 Makoto Shinkai,神木隆之介 Ryûnosuke Kamiki / 上...,2016,日本,剧情 爱情 动画,https://movie.douban.com/subject/26683290/
163,血战钢锯岭,Hacksaw Ridge,钢锯岭  /  钢铁英雄(台),8.7,867491,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,梅尔·吉布森 Mel Gibson,安德鲁·加菲尔德 Andrew Garfield /...,2016,澳大利亚 美国,剧情 传记 历史 战争,https://movie.douban.com/subject/26325320/
164,射雕英雄传之东成西就,射鵰英雄傳之東成西就,东成西就  /  大英雄 (日本),8.7,725146,,刘镇伟 Jeffrey Lau,梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,1993,中国香港,喜剧 奇幻 武侠 古装,https://movie.douban.com/subject/1316510/
165,末路狂花,Thelma & Louise,塞尔玛与路易丝,9.0,358687,,雷德利·斯科特 Ridley Scott,吉娜·戴维斯 Geena Davis / 苏...,1991,美国 英国 法国,犯罪 剧情 惊悚,https://movie.douban.com/subject/1291992/
166,我是山姆,I Am Sam,不一样的爸爸(港)  /  他不笨，他是我爸爸(台),9.0,381322,,杰茜·尼尔森 Jessie Nelson,Sean Penn / Dakota Fanning / Mi...,2001,美国,剧情 家庭,https://movie.douban.com/subject/1306861/
167,阳光姐妹淘,써니,阳光姊妹淘(港)  /  桑尼,8.8,644351,再多各自牛逼的时光，也比不上一起傻逼的岁月。,姜炯哲 Hyeong-Cheol Kang,沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,2011,韩国,剧情 喜剧,https://movie.douban.com/subject/4917726/
168,高山下的花环,,卫国军魂(港)  /  Wreaths at the Foot of the Mountain,9.5,165712,,谢晋 Jin Xie,吕晓禾 Xiaohe Lü / 唐国强 Guoqiang Tang / 何...,1984(中国大陆),1985,中国大陆,https://movie.douban.com/subject/1422283/
169,恐怖直播,더 테러 라이브,死亡“动”新闻(港)  /  恐怖攻击直播(台),8.7,735904,恐怖分子的“秋菊打官司”。,金秉祐 Byeong-woo Kim,河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,2013,韩国,剧情 犯罪 悬疑,https://movie.douban.com/subject/21360417/
170,黑客帝国3：矩阵革命,The Matrix Revolutions,22世纪杀人网络3：惊变世纪(港)  /  骇客任务完结篇：最后战役(台),8.8,502832,,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,,2003,美国,动作 科幻,https://movie.douban.com/subject/1302467/
171,小丑,Joker,小丑起源电影：罗密欧  /  Romeo,8.7,1134351,,托德·菲利普斯 Todd Phillips,杰昆·菲尼克斯 Joaquin Phoeni...,2019,美国 加拿大,剧情 犯罪 惊悚,https://movie.douban.com/subject/27119724/
172,谍影重重3,The Bourne Ultimatum,叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台),8.9,476992,像吃了苏打饼一样干脆的电影。,保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon / ...,2007,美国 德国 法国 英国,动作 悬疑 惊悚,https://movie.douban.com/subject/1578507/
173,三块广告牌,"Three Billboards Outside Ebbing, Missouri",广告牌杀人事件(港)  /  意外(台),8.7,929724,怼天怼地，你走后，她与世界为敌。,马丁·麦克唐纳 Martin McDonagh,弗兰西斯·麦克多蒙德 France...,2017,英国 美国,剧情 犯罪,https://movie.douban.com/subject/26611804/
174,无间道2,無間道II,无间道前传  /  Infernal Affairs II,8.8,576447,,刘伟强 Andrew Lau / 麦兆辉 Alan Mak,陈冠希 Edison Chen / ...,2003,中国香港,剧情 犯罪 惊悚,https://movie.douban.com/subject/1307106/
175,电锯惊魂,Saw,恐惧斗室(港)  /  夺魂锯(台),8.7,621713,真相就在眼前。,詹姆斯·温 James Wan,雷·沃纳尔 Leigh Whannell / 加利·艾...,2004,美国,悬疑 惊悚 恐怖,https://movie.douban.com/subject/1417598/
176,达拉斯买家俱乐部,Dallas Buyers Club,续命枭雄(港)  /  药命俱乐部(台),8.8,511843,Jared Leto的腿比女人还美！,让-马克·瓦雷 Jean-Marc Vallée,马修·麦康纳 Matthew McCon...,2013,美国,剧情 传记 同性,https://movie.douban.com/subject/1793929/
177,疯狂原始人,The Croods,古鲁家族(港 / 台),8.7,930150,老少皆宜，这就是好莱坞动画的魅力。,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...,,2013,美国,喜剧 动画 冒险,https://movie.douban.com/subject/1907966/
178,爱在午夜降临前,Before Midnight,情约半生(港)  /  爱在午夜希腊时(台),8.8,482438,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,2013,美国 希腊,剧情 爱情,https://movie.douban.com/subject/10808442/
179,绿里奇迹,The Green Mile,绿色奇迹(台)  /  绿色英里,8.9,393898,,弗兰克·德拉邦特 Frank Darabont,汤姆·汉克斯 Tom Hanks / ...,1999,美国,犯罪 剧情 奇幻 悬疑,https://movie.douban.com/subject/1300374/
180,疯狂的石头,,Crazy Stone,8.6,936712,中国版《两杆大烟枪》。,宁浩 Hao Ning,郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,2006,中国大陆 中国香港,喜剧 犯罪,https://movie.douban.com/subject/1862151/
181,雨中曲,Singin' in the Rain,万花嬉春(港 / 台),9.1,273478,,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,吉恩·...,1952,美国,喜剧 歌舞 爱情,https://movie.douban.com/subject/1293460/
182,2001太空漫游,2001: A Space Odyssey,2001：星际漫游  /  2001：太空奥德赛,8.9,404038,,斯坦利·库布里克 Stanley Kubrick,凯尔·杜拉 Keir Dullea / ...,1968,英国 美国,科幻 惊悚 冒险,https://movie.douban.com/subject/1292226/
183,海街日记,海街diary,海街女孩日记(港)  /  Kamakura Diary,8.8,530025,是枝裕和的家庭习作。,是枝裕和 Hirokazu Koreeda,绫濑遥 Haruka Ayase / 长泽雅美 M...,2015,日本,剧情 家庭,https://movie.douban.com/subject/25895901/
184,上帝之城,Cidade de Deus,无主之城(港)  /  无法无天(台),9.0,337069,,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,,2002,巴西 法国,犯罪 剧情,https://movie.douban.com/subject/1292208/
185,心迷宫,,殡棺  /  The Coffin in the Mountain,8.7,626907,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,忻钰坤 Yukun Xin,霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,2014,中国大陆,剧情 犯罪 悬疑,https://movie.douban.com/subject/25917973/
186,风之谷,風の谷のナウシカ,风谷少女  /  Kaze no tani no Naushika,8.9,397478,,宫崎骏 Hayao Miyazaki,岛本须美 Sumi Shimamoto / 松田洋治 Y...,1984,日本,动画 奇幻 冒险,https://movie.douban.com/subject/1291585/
187,记忆碎片,Memento,凶心人(港)  /  记忆拼图(台),8.7,714924,,克里斯托弗·诺兰 Christopher Nolan,盖·皮尔斯 Guy Pearce /...,2000,美国,犯罪 剧情 悬疑 惊悚,https://movie.douban.com/subject/1304447/
188,英雄本色,,A Better Tomorrow  /  Gangland Boss,8.6,613172,,吴宇森 John Woo,周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,1986,中国香港,剧情 动作 犯罪,https://movie.douban.com/subject/1297574/
189,纵横四海,縱橫四海,Once a Thief,8.8,494154,,吴宇森 John Woo,周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,1991,中国香港,剧情 喜剧 动作 犯罪,https://movie.douban.com/subject/1295409/
190,恐怖游轮,Triangle,汪洋血迷宮(台)  /  轮回三角,8.5,1036650,不要企图在重复中寻找已经失去的爱。,克里斯托弗·史密斯 Christopher Smith,梅利莎·乔治 Melissa ...,2009,英国 澳大利亚,科幻 悬疑 奇幻 惊悚,https://movie.douban.com/subject/3011051/
191,无敌破坏王,Wreck-It Ralph,破坏王拉尔夫  /  破坏王大冒险,8.7,619081,迪士尼和皮克斯拿错剧本的产物。,瑞奇·莫尔 Rich Moore,约翰·C·赖利 John C. Reilly / 萨拉...,2012,美国,喜剧 动画 奇幻 冒险,https://movie.douban.com/subject/6534248/
192,芙蓉镇,,Hibiscus Town,9.3,195772,,谢晋 Jin Xie,刘晓庆 Xiaoqing Liu / 姜文 Wen Jiang / 郑在石...,1987,中国大陆,剧情 爱情,https://movie.douban.com/subject/1297880/
193,卢旺达饭店,Hotel Rwanda,卢安达饭店(台),8.9,371308,当这个世界闭上双眼，他却敞开了怀抱。,特瑞·乔治 Terry George,唐·钱德尔 Don Cheadle / 苏菲·奥...,2004,英国 南非 意大利 美国,剧情 传记 历史 战争,https://movie.douban.com/subject/1291822/
194,牯岭街少年杀人事件,牯嶺街少年殺人事件,A Brighter Summer Day,8.9,377257,,杨德昌 Edward Yang,张震 Chen Chang / 杨静怡 Lisa Yang / 张...,1991,中国台湾,剧情 犯罪,https://movie.douban.com/subject/1292329/
195,魔女宅急便,魔女の宅急便,魔女琪琪(台)  /  小魔女限时专送,8.7,531656,,宫崎骏 Hayao Miyazaki,高山南 Minami Takayama / 佐久间玲 Re...,1989,日本,动画 奇幻 冒险,https://movie.douban.com/subject/1307811/
196,东京教父,東京ゴッドファーザーズ,Tokyo Godfathers,9.0,296784,,今敏 Satoshi Kon,江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...,2003,日本,剧情 喜剧 动画,https://movie.douban.com/subject/1310177/
197,小偷家族,万引き家族,Shoplifters  /  Une Affaire de Famille,8.7,903463,我们组成了家。,是枝裕和 Hirokazu Koreeda,中川雅也 Lily Franky / 安藤樱 Sa...,2018,日本,剧情 犯罪 家庭,https://movie.douban.com/subject/27622447/
198,冰川时代,Ice Age,冰河世纪  /  冰原历险记,8.7,692747,,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge   主演...,,2002,美国,喜剧 动画 冒险,https://movie.douban.com/subject/1291578/
199,忠犬八公物语,ハチ公物語,八千公物语  /  阿八的故事,9.2,221455,,神山征二郎 Seijirô Kôyama,仲代达矢 Tatsuya Nakadai /...,1987,日本,剧情,https://movie.douban.com/subject/1959195/
200,岁月神偷,歲月神偷,1969太空漫游  /  Echoes Of The Rainbow,8.7,616655,岁月流逝，来日可追。,罗启锐 Alex Law,吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,2010,中国香港 中国大陆,剧情 家庭,https://movie.douban.com/subject/3792799/
201,遗愿清单,The Bucket List,玩转身前事(港)  /  一路玩到挂(台),8.7,548165,用剩余不多的时间，去燃烧整个生命。,罗伯·莱纳 Rob Reiner,杰克·尼科尔森 Jack Nicholson / 摩根...,2007,美国,冒险 喜剧 剧情,https://movie.douban.com/subject/1867345/
